Date,Close,Volume,,Date,Weighted_Sentiment,Simple_Avg_Sentiment,Close,Vol
2023/4/12,30139.05273,18651929926,,2025/4/11,-0.009345756,-0.006831605,81303.82031,44573511680
2023/4/13,30399.06641,17487721001,,2025/4/10,-0.022427469,-0.012177439,79626.14063,44718000633
2023/4/14,30485.69922,22659995079,,2025/4/9,-0.017391304,-0.02173913,82573.95313,84213627038
2023/4/15,30318.49609,11940685378,,2025/4/8,-0.02888762,-0.031513768,76271.95313,48314590749
2023/4/16,30315.35547,12854816417,,2025/4/7,0.005657672,0.002115539,79235.33594,91262424987
2023/4/17,29445.04492,17872186762,,2025/4/6,-0.029499567,-0.032265152,78214.48438,36294853736
2023/4/18,30397.55273,19480529496,,2025/4/5,-0.00611849,-0.00667642,83504.79688,14380803631
2023/4/19,28822.67969,24571565421,,2025/4/4,-0.003999128,-0.003130529,83843.80469,45157640207
2023/4/20,28245.98828,21340360360,,2025/4/3,-0.008502144,-0.01428414,83102.82813,36852112080
2023/4/21,27276.91016,20759504330,,2025/4/2,-0.011318162,-0.01128595,82485.71094,47584398470
2023/4/22,27817.5,13125734602,,2025/4/1,-0.019390386,-0.02018398,85169.17188,28175650319
2023/4/23,27591.38477,12785446832,,2025/3/31,-0.010252472,-0.013586109,82548.91406,29004228247
2023/4/24,27525.33984,17703288330,,2025/3/30,-0.024332928,-0.001850048,82334.52344,14763760943
2023/4/25,28307.59766,17733373139,,2025/3/29,-0.001114911,-0.00208879,82597.58594,16969396135
2023/4/26,28422.70117,31854242019,,2025/3/28,0.009016705,6.85E-05,84353.14844,34198619509
2023/4/27,29473.78711,27153445027,,2025/3/27,-0.005795349,-0.004363105,87177.10156,24413471941
2023/4/28,29340.26172,17544464887,,2025/3/26,-0.001497277,0.000998403,86900.88281,26704046038
2023/4/29,29248.48828,10662634333,,2025/3/25,0.001158313,-0.001730661,87471.70313,30005840049
2023/4/30,29268.80664,14652199272,,2025/3/24,0.001345069,0.009237054,87498.91406,34582604933
2023/5/1,28091.56836,18655599976,,2025/3/23,0.015342671,-0.00724195,86054.375,12594615537
2023/5/2,28680.53711,16432924527,,2025/3/22,-0.009708544,-0.009162922,83832.48438,9863214091
2023/5/3,29006.30859,19122972518,,2025/3/21,-0.003073194,-0.004846737,84043.24219,19030452299
2023/5/4,28847.71094,15548678514,,2025/3/20,-0.004872395,-0.002797703,84167.19531,29028988961
2023/5/5,29534.38477,17936566518,,2025/3/19,0.004597701,0.003831418,86854.22656,34931960257
2023/5/6,28904.62305,15913866714,,2025/3/18,-0.010929803,-0.010929803,82718.5,24095774594
2023/5/7,28454.97852,11301355486,,2025/3/17,-0.021834976,-0.017649139,84075.6875,25092785558
2023/5/8,27694.27344,19122903752,,2025/3/16,-0.007452622,-0.00631121,82579.6875,21330270174
2023/5/9,27658.77539,14128593256,,2025/3/15,0.035714286,0.035714286,84343.10938,13650491277
2023/5/10,27621.75586,20656025026,,2025/3/14,-0.014981679,-0.014045324,83969.10156,29588112414
2023/5/11,27000.78906,16724343943,,2025/3/13,0.011549759,0.007991831,81066.70313,31412940153
2023/5/12,26804.99023,19313599897,,2025/3/12,0.013408586,-0.000700236,83722.35938,40353484454
2023/5/13,26784.07813,9999171605,,2025/3/11,-0.007782209,-0.007033248,82862.21094,54702837196
2023/5/14,26930.63867,10014858959,,2025/3/10,-0.001925328,-0.003522254,78532,54061099422
2023/5/15,27192.69336,14413231792,,2025/3/9,0.009513582,-0.00160374,80601.03906,30899345977
2023/5/16,27036.65039,12732238816,,2025/3/8,-0.010599177,-0.012500289,86154.59375,18206118081
2023/5/17,27398.80273,15140006925,,2025/3/7,-0.006875332,-0.006603831,86742.67188,65945677657
2023/5/18,26832.20898,15222938600,,2025/3/6,-0.001820868,-0.00679344,89961.72656,47749810486
2023/5/19,26890.12891,11258983301,,2025/3/5,0.003858664,-0.005797395,90623.5625,50498988027
2023/5/20,27129.58594,7044911360,,2025/3/4,0.007838655,0.009613189,87222.19531,68095241474
2023/5/21,26753.82617,8647416921,,2025/3/3,0.005439909,-0.000924364,86065.67188,70072228536
2023/5/22,26851.27734,11056770492,,2025/3/2,-0.012294028,-0.011138242,94248.35156,58398341092
2023/5/23,27225.72656,13697203143,,2025/3/1,-0.002530759,-0.003255666,86031.91406,29190628396
2023/5/24,26334.81836,16299104428,,2025/2/28,0.007255818,0.003592449,84373.00781,83610570576
2023/5/25,26476.20703,13851122697,,2025/2/27,0.005685608,0.005685608,84704.22656,52659591954
2023/5/26,26719.29102,12711619225,,2025/2/26,-0.006989328,-0.008155658,84347.02344,64597492134
2023/5/27,26868.35352,7892015141,,2025/2/25,-0.007594446,-0.008800129,88736.17188,92139104128
2023/5/28,28085.64648,14545229578,,2025/2/24,0.003375649,-0.005820806,91418.17188,44046480529
2023/5/29,27745.88477,15181308984,,2025/2/23,-0.001377831,-0.007251617,96273.92188,16999478976
2023/5/30,27702.34961,13251081851,,2025/2/22,-0.006700363,-0.005641816,96577.75781,18353824477
2023/5/31,27219.6582,15656371534,,2025/2/21,-0.000171079,-0.00077947,96125.54688,49608706470
2023/6/1,26819.97266,14678970415,,2025/2/20,-0.000130427,-0.00168529,98333.9375,31668022771
2023/6/2,27249.58984,14837415000,,2025/2/19,-0.028287593,-0.004292265,96635.60938,28990872862
