Date,Weighted_Sentiment,Total_Comments,Total_Upvotes,Avg_Upvotes,Max_Upvotes,Min_Upvotes,Simple_Avg_Sentiment
2025/4/11,-0.009345756,227,3027,13.33480176,466,0,-0.006831605
2025/4/10,-0.022427469,164,1753,10.68902439,310,0,-0.012177439
2025/4/9,-0.017391304,2,3,1.5,2,1,-0.02173913
2025/4/8,-0.02888762,11,13,1.181818182,2,1,-0.031513768
2025/4/7,0.005657672,181,4124,22.78453039,626,0,0.002115539
2025/4/6,-0.029499567,16,19,1.1875,2,0,-0.032265152
2025/4/5,-0.00611849,143,1915,13.39160839,509,0,-0.00667642
2025/4/4,-0.003999128,15,14,0.933333333,1,0,-0.003130529
2025/4/3,-0.008502144,133,915,6.879699248,106,0,-0.01428414
2025/4/2,-0.011318162,760,11288,14.85263158,2125,0,-0.01128595
2025/4/1,-0.019390386,114,123,1.078947368,3,0,-0.02018398
2025/3/31,-0.010252472,415,7213,17.38072289,1400,0,-0.013586109
2025/3/30,-0.024332928,273,4236,15.51648352,963,0,-0.001850048
2025/3/29,-0.001114911,162,1918,11.83950617,487,0,-0.00208879
2025/3/28,0.009016705,149,4836,32.45637584,768,0,6.85E-05
2025/3/27,-0.005795349,75,95,1.266666667,4,0,-0.004363105
2025/3/26,-0.001497277,119,709,5.957983193,134,0,0.000998403
2025/3/25,0.001158313,104,2274,21.86538462,487,0,-0.001730661
2025/3/24,0.001345069,194,887,4.572164948,126,0,0.009237054
2025/3/23,0.015342671,226,2850,12.61061947,966,0,-0.00724195
2025/3/22,-0.009708544,202,3598,17.81188119,466,0,-0.009162922
2025/3/21,-0.003073194,319,3034,9.510971787,826,0,-0.004846737
2025/3/20,-0.004872395,9,6,0.666666667,1,0,-0.002797703
2025/3/19,0.004597701,6,4,0.666666667,1,0,0.003831418
2025/3/18,-0.010929803,14,14,1,1,1,-0.010929803
2025/3/17,-0.021834976,125,973,7.784,97,0,-0.017649139
2025/3/16,-0.007452622,211,2843,13.47393365,571,0,-0.00631121
2025/3/15,0.035714286,2,2,1,1,1,0.035714286
2025/3/14,-0.014981679,8,7,0.875,1,0,-0.014045324
2025/3/13,0.011549759,28,36,1.285714286,5,0,0.007991831
2025/3/12,0.013408586,320,8066,25.20625,1384,0,-0.000700236
2025/3/11,-0.007782209,45,85,1.888888889,13,0,-0.007033248
2025/3/10,-0.001925328,383,4148,10.83028721,545,0,-0.003522254
2025/3/9,0.009513582,255,3023,11.85490196,505,0,-0.00160374
2025/3/8,-0.010599177,333,2714,8.15015015,674,0,-0.012500289
2025/3/7,-0.006875332,1167,10141,8.689802913,491,0,-0.006603831
2025/3/6,-0.001820868,78,1260,16.15384615,351,0,-0.00679344
2025/3/5,0.003858664,91,532,5.846153846,75,0,-0.005797395
2025/3/4,0.007838655,228,3994,17.51754386,1773,0,0.009613189
2025/3/3,0.005439909,578,11810,20.43252595,3187,0,-0.000924364
2025/3/2,-0.012294028,232,801,3.452586207,64,0,-0.011138242
2025/3/1,-0.002530759,75,1375,18.33333333,302,0,-0.003255666
2025/2/28,0.007255818,73,1499,20.53424658,586,0,0.003592449
2025/2/27,0.005685608,12,12,1,1,1,0.005685608
2025/2/26,-0.006989328,37,44,1.189189189,3,0,-0.008155658
2025/2/25,-0.007594446,332,1964,5.915662651,181,0,-0.008800129
2025/2/24,0.003375649,290,2598,8.95862069,558,0,-0.005820806
2025/2/23,-0.001377831,689,8847,12.84034833,1071,0,-0.007251617
2025/2/22,-0.006700363,262,782,2.984732824,203,0,-0.005641816
2025/2/21,-0.000171079,1041,16803,16.14121037,2823,0,-0.00077947
2025/2/20,-0.000130427,168,11932,71.02380952,5691,0,-0.00168529
2025/2/19,-0.028287593,140,1526,10.9,289,1,-0.004292265
2025/2/18,-0.00140195,114,930,8.157894737,294,0,0.001857612
2025/2/17,-0.013154576,396,4994,12.61111111,808,0,-0.005158704
2025/2/16,-0.011174566,220,1081,4.913636364,156,0,-0.006698105
2025/2/15,-0.009956247,42,2377,56.5952381,823,0,0.00074872
2025/2/14,0,1,1,1,1,1,0
2025/2/13,0.010814815,7,8,1.142857143,2,1,0.013015873
2025/2/12,-0.003752345,5,8,1.6,2,1,-0.004878049
2025/2/11,-0.010005905,43,54,1.255813953,4,1,-0.009092878
2025/2/10,-0.009090648,143,2918,20.40559441,1165,0,-0.009704063
2025/2/9,0.001362547,148,604,4.081081081,100,0,-0.003777676
2025/2/8,-0.003313989,249,3140,12.61044177,673,0,-0.002897681
2025/2/7,-0.007863577,534,23285,43.60486891,2716,0,-0.002020362
2025/2/6,-0.013672259,181,2764,15.27071823,662,0,-0.00241381
2025/2/5,0.002173441,236,2230,9.449152542,311,0,-0.004096522
2025/2/4,0.007369431,201,3096,15.40298507,830,0,-0.003018334
2025/2/3,0.005907576,531,8893,16.74764595,681,0,-0.005273633
2025/2/2,0.011263523,338,4778,14.13609467,1235,0,-0.003827807
2025/2/1,0.042265795,4,5,1.25,2,1,0.04754902
2025/1/31,-0.004625223,92,106,1.152173913,5,0,-0.00478416
2025/1/30,-0.004292682,476,3497,7.346638655,261,0,-0.005410568
2025/1/29,-0.008215345,534,11067,20.7247191,1375,0,-0.004509586
2025/1/28,-0.000693541,154,961,6.24025974,293,0,-0.001020481
2025/1/27,-0.008840862,425,7482,17.60470588,2181,0,-0.013199371
2025/1/26,0.003189246,210,2397,11.41428571,519,0,-0.002355636
2025/1/25,-0.009796835,292,2106,7.212328767,218,0,-0.009865445
2025/1/24,-0.008469118,465,5069,10.90107527,812,0,-0.008975983
2025/1/23,-0.016560305,116,1670,14.39655172,239,0,-0.013354344
2025/1/22,-0.033779079,271,7013,25.87822878,1651,0,-0.008010732
2025/1/21,-0.010907863,240,2180,9.083333333,326,0,-0.006583473
2025/1/20,0.01191961,214,4316,20.1682243,526,0,-0.004217558
2025/1/19,-0.008106512,16,19,1.1875,3,1,-0.008104302
2025/1/18,0.005555597,102,972,9.529411765,342,1,-0.004130309
2025/1/16,0.017391304,5,5,1,1,1,0.017391304
2025/1/15,-0.006546503,7,6,0.857142857,1,0,-0.004094769
2025/1/14,-0.008725262,87,235,2.701149425,54,0,-0.006422629
2025/1/13,-0.00714318,149,1350,9.060402685,334,0,-0.003547985
2025/1/12,0.014985124,58,438,7.551724138,76,0,0.003379862
2025/1/11,-0.014832136,36,62,1.722222222,20,0,-0.009028765
2025/1/10,0.001141704,391,3827,9.787723785,811,0,-0.008695319
2025/1/9,-0.008928619,433,3015,6.963048499,354,0,-0.006960463
2025/1/8,-0.006057413,68,114,1.676470588,18,0,-0.009331734
2025/1/7,-0.004168573,259,3464,13.37451737,1179,0,-0.001540332
2025/1/6,0.004072366,681,6398,9.395007342,794,0,-0.005107549
2025/1/5,-0.005317367,360,3210,8.916666667,1321,0,-0.012973797
2025/1/4,-0.00168197,239,3280,13.72384937,574,0,-0.014240799
2025/1/3,-0.000367753,125,899,7.192,179,0,-0.00064248
2025/1/2,-0.004632326,253,3465,13.69565217,1164,0,-0.005641608
2025/1/1,-0.000273571,280,4107,14.66785714,821,0,-0.006121314
2024/12/31,-0.009212324,95,217,2.284210526,21,0,-0.007146931
2024/12/30,0.006891495,349,4223,12.10028653,686,0,-0.011301257
2024/12/29,-0.005106529,161,1260,7.826086957,227,0,-0.008503447
2024/12/28,-0.007571347,431,4409,10.22969838,310,0,-0.005676694
2024/12/27,-0.005747126,16,13,0.8125,2,0,-0.005208333
2024/12/26,-0.026763619,230,2267,9.856521739,600,0,-0.007708152
2024/12/25,0.001510759,227,2093,9.220264317,483,0,-0.004042072
2024/12/24,0.006224971,335,1982,5.91641791,386,0,0.000142338
2024/12/23,-0.002735883,418,9897,23.67703349,1502,0,-0.000584371
2024/12/22,-0.007909284,54,94,1.740740741,10,0,-0.009910792
2024/12/21,0.009719381,168,435,2.589285714,69,0,-0.012256027
2024/12/20,-0.012704995,553,7971,14.41410488,741,0,-0.013497945
2024/12/19,-0.005317571,427,5179,12.12880562,754,0,-0.006625053
2024/12/18,-0.005603374,391,3978,10.17391304,660,0,-0.008063146
2024/12/17,-0.007145349,515,3743,7.267961165,447,0,-0.006492446
2024/12/16,-0.003789382,434,3634,8.373271889,490,0,-0.003196769
2024/12/15,-0.012932762,261,3492,13.37931034,1175,0,-0.003167647
2024/12/14,0.002177789,181,1470,8.121546961,219,0,-0.003758107
2024/12/13,0.014428558,31,38,1.225806452,3,1,0.015437241
2024/12/12,-0.012158061,264,647,2.450757576,83,0,-0.004968231
2024/12/11,-0.001064899,609,6311,10.36288998,859,0,-0.004388627
2024/12/10,-0.012385884,640,10311,16.1109375,1358,0,-0.006962302
2024/12/9,-0.003362538,581,3076,5.294320138,345,0,-0.00527186
2024/12/8,-0.012056386,186,1283,6.897849462,199,0,-0.011428983
2024/12/7,-0.005294042,76,96,1.263157895,6,0,-0.001583138
2024/12/6,-0.009795498,675,13284,19.68,1990,0,-0.005718509
2024/12/5,0.003385859,929,10539,11.3444564,1379,0,-0.001331245
2024/12/4,-0.002879533,322,3546,11.01242236,675,0,-0.012434987
2024/12/3,-0.006530125,161,280,1.739130435,19,0,-0.008150347
2024/12/2,-0.003980033,239,3845,16.08786611,373,0,-0.005763454
2024/12/1,-0.000851249,69,91,1.31884058,5,0,0.000961356
2024/11/30,0.002956167,421,6990,16.60332542,2126,0,0.002482842
2024/11/29,8.53E-05,178,1340,7.528089888,268,0,-0.003679642
2024/11/28,-0.004539015,257,3486,13.56420233,779,0,-0.003901535
2024/11/27,-0.003872391,167,2454,14.69461078,864,0,-0.009419785
2024/11/26,0.001568769,578,3966,6.861591696,796,0,-0.001469453
2024/11/25,-0.000769386,243,6004,24.70781893,1354,0,-0.002882523
2024/11/24,-0.003981043,349,1509,4.323782235,133,0,-0.004747355
2024/11/23,-0.003075598,1034,10795,10.44003868,1145,0,-0.001613874
2024/11/22,-0.005929352,713,14576,20.44319776,2918,0,-0.006012483
2024/11/21,-0.008360051,729,10171,13.95198903,546,0,-0.005642391
2024/11/20,-0.022540992,269,4059,15.08921933,1151,0,-0.007641687
2024/11/19,-0.006963386,102,202,1.980392157,25,0,-0.007204606
2024/11/18,0.011142238,137,857,6.255474453,139,0,-0.007465507
2024/11/17,-0.004166778,124,899,7.25,174,0,-0.005875445
2024/11/16,0.000278573,406,11579,28.51970443,1753,0,5.90E-05
2024/11/15,-0.014712594,736,5772,7.842391304,594,0,-0.003215061
2024/11/14,-0.000601811,873,9732,11.14776632,696,0,-0.005038195
2024/11/13,0.000480415,443,10795,24.36794582,1812,0,0.000114122
2024/11/12,0.000932443,533,6137,11.51407129,1395,0,-0.000619235
2024/11/11,0.000857313,45,57,1.266666667,5,0,0.000715211
2024/11/10,-0.000756723,207,3008,14.53140097,658,0,-0.006737643
2024/11/9,-0.018987342,2,2,1,1,1,-0.018987342
2024/11/8,-0.018696581,4,4,1,1,1,-0.018696581
2024/11/7,-0.022457134,84,171,2.035714286,19,0,-0.009823087
2024/11/6,-0.002198145,154,2056,13.35064935,492,0,-0.008234804
2024/11/5,-0.006816249,150,240,1.6,13,0,-0.005457478
2024/11/4,-0.008611438,319,3808,11.93730408,720,0,-0.008767349
2024/11/3,0.002490078,34,757,22.26470588,180,0,0.005230962
2024/11/2,-0.002839622,228,502,2.201754386,46,0,-0.004727793
2024/11/1,0.003284634,298,2577,8.647651007,262,0,-0.006026178
