date,price,vol_spot_24h,market_cap
2017-09-16,0.10725062,1.051223,10725062.43651539
2017-09-17,0.15404129,14.678587,15404129.09098125
2017-09-18,0.17349124,6.001767,17349123.90727164
2017-09-19,0.16833419,3.878927,16833419.05826789
2017-09-20,0.16662792,40.687619,16662792.4856436
2017-09-21,0.09581703,20.567702,9581702.72967891
2017-09-22,0.09421298,135.880347,9421298.08525728
2017-09-23,0.08828963,0.793086,8828963.15913023
2017-09-24,0.08545454,0.769099,8545453.92053913
2017-09-25,0.10250635,9.105908,10250635.35991835
2017-09-26,0.0896578,18.193194,8965780.22174892
2017-09-27,0.11505513,59.55401,11505513.15083699
2017-09-28,0.13955237,305.186482,13955236.70915227
2017-09-29,0.13217329,2.619859,13217328.78720941
2017-09-30,0.17191165,204.642096,17191164.68013488
2017-10-01,0.10116816,123.591078,10116815.71739988
2017-10-02,0.10787364,14.443285,10787364.04901165
2017-10-03,0.12443238,42.085171,12443238.40111573
2017-10-04,0.12880577,7.216329,12880576.98534014
2017-10-05,0.13059918,3.087251,13059917.95093704
2017-10-06,0.13564347,3.129625,13564347.38726733
2017-10-07,0.12937533,0.717801,12937532.58147205
2017-10-08,0.12993885,0.720928,12993885.10984847
2017-10-10,0.14007955,8.465007,14007954.96744637
2017-10-11,0.21645282,183.741264,21645282.37883093
2017-10-12,0.2397096,3266.917394,23970960.38158739
2017-10-13,0.22988972,55.335049,22988972.43282799
2017-10-14,0.11216452,22.472337,11216452.03777135
2017-10-15,0.10973221,1.865448,10973221.36808896
2017-10-16,0.18386163,1302.893456,18386163.39844644
2017-10-17,0.10929079,27.431971,10929078.57684465
2017-10-18,0.1085,5.967511,10849999.58129363
2017-10-19,0.0398177,57.417911,3981769.71879923
2017-10-20,0.10113759,0.809101,10014036.87939764
2017-10-21,0.09851666,0.88665,9754528.3474995
2017-10-22,0.04400539,16.388412,4357149.8100971
2017-10-23,0.05965943,20.27027,5907118.82542005
2017-10-25,0.08699934,27.945035,8614152.72989626
2017-10-26,0.04594665,9.401982,4549361.14473641
2017-10-27,0.04672393,4.15928,4626323.18742883
2017-10-28,0.04674182,3.693455,4628094.60992349
2017-10-29,0.04937422,2.362118,4888738.90000734
2017-10-30,1.29901859,2366136.909425,128621027.051878
2017-10-31,1.28913197,3364798.053031,127642112.83486268
2017-11-01,1.25601321,2105110.86441,124362891.8000922
2017-11-02,1.29694785,3545674.600832,128415994.1310528
2017-11-03,1.46771759,3208792.778542,145324589.61855084
2017-11-04,1.62594447,4666853.022527,160991265.41234583
2017-11-05,1.53693929,2709302.554238,152178506.46334484
2017-11-06,1.60531591,4669237.560843,158948749.47016165
2017-11-07,1.81262354,6148040.166284,179475107.11354542
2017-11-08,2.03370247,13176873.458878,201365016.45727396
2017-11-09,2.03466411,11367249.922029,201460232.20321235
2017-11-10,1.80701691,7770039.244344,178919972.00425422
2017-11-11,1.69156335,5531033.523902,167488453.06212497
2017-11-12,1.52494974,9288920.952425,150991373.7338803
2017-11-13,1.67395374,6612122.249519,165744855.11906666
2017-11-14,1.58246677,743952.339262,156686364.647931
2017-11-15,1.52243686,4445617.401979,150742563.641147
2017-11-16,1.59569778,5430129.006832,157996419.777573
2017-11-17,1.51454614,4107948.528486,149961271.382931
