date,price,vol_spot_24h,market_cap
2015-08-07,2.83162,90622.0,0.0
2015-08-08,1.33075,368070.0,80339475.0
2015-08-10,0.68758571,400464.074544,41556309.21112176
2015-08-11,1.06737888,1518998.205337,64539006.30627219
2015-08-12,1.25661318,2073893.345031,76013261.05415402
2015-08-13,1.82539545,4380142.704,110468836.22388984
2015-08-14,1.82597489,4355618.378552,110555313.2602532
2015-08-15,1.67094967,2519633.270818,101215246.3781064
2015-08-16,1.47660725,3032657.656406,89480939.24025029
2015-08-17,1.20387143,1880092.214718,87313387.94547918
2015-08-18,1.28139305,1696013.472336,92957858.0620156
2015-08-19,1.25273865,1537200.840989,90920695.86547752
2015-08-20,1.48419507,2967730.502211,107749185.84108424
2015-08-21,1.40631477,1742881.80815,102131022.8278611
2015-08-22,1.38072154,914588.653975,100308763.78229792
2015-08-23,1.3551821,1610695.872751,98488001.44464436
2015-08-24,1.24657168,696476.555327,90625948.31797116
2015-08-25,1.16082833,1053169.386205,84423109.08066371
2015-08-26,1.11963916,1151700.041593,81454879.46968535
2015-08-27,1.13369069,681460.239441,82504022.8230964
2015-08-28,1.1888957,715178.789931,86549490.63266213
2015-08-29,1.17434391,607200.891454,85515599.87435573
2015-08-30,1.32235088,1045589.321257,96321049.6917207
2015-08-31,1.35336842,1197102.049287,98608290.53954794
2015-09-01,1.35078669,610368.24309,98446826.49425755
2015-09-02,1.27881077,629746.119317,93224371.25915022
2015-09-03,1.26277072,583923.745245,92075482.6329798
2015-09-04,1.2695201,333502.661157,92596631.55333725
2015-09-05,1.33497623,350815.466895,97402782.61913484
2015-09-06,1.29888313,317470.094342,94801706.70501994
2015-09-07,1.25622344,487005.202803,91718481.31789044
2015-09-08,1.23603326,419148.801825,90274690.39947064
2015-09-09,1.20652995,367774.331895,88150718.66876175
2015-09-10,1.16723484,639527.917493,85308945.82326
2015-09-11,0.97650909,1901710.694902,71394234.94958797
2015-09-12,1.03820359,800623.299845,75931677.01254052
2015-09-13,0.93865215,658895.195994,68673818.80135794
2015-09-14,0.87402296,739213.725918,63965969.21105757
2015-09-15,0.94182319,725816.471124,68951445.2301325
2015-09-16,0.90321992,629370.084907,66147947.57992838
2015-09-17,0.88307873,910704.951226,64693831.07862287
2015-09-18,0.84607092,478606.396922,62003275.12077277
2015-09-19,0.8821038,387803.616712,64666306.22983543
2015-09-20,0.93632776,514836.108625,68666556.12460059
2015-09-21,0.90109288,429253.504312,66105164.81214318
2015-09-22,0.89714227,485738.955387,65835322.77918012
2015-09-23,0.89404752,204065.405901,65633959.75465383
2015-09-24,0.81603731,818263.068224,59927327.71396765
2015-09-25,0.7405193,901151.619012,54400658.24710222
2015-09-26,0.7778015,379124.185901,57158415.43824422
2015-09-27,0.72135842,408380.639038,53028193.82255717
2015-09-28,0.583057,1214056.211782,42874816.97306375
2015-09-29,0.65783249,936630.329607,48389042.90271223
2015-09-30,0.73476305,640217.622646,54065419.5075397
2015-10-01,0.68581219,588839.781504,50481342.52886204
2015-10-02,0.67622173,220969.484952,49792779.28891763
2015-10-03,0.68747576,163820.85348,50638684.01549935
2015-10-04,0.66754686,104370.450735,49187272.3502002
2015-10-05,0.62825507,221647.207068,46307572.65224096
2015-10-06,0.64565776,268523.037876,47605896.39364778
2015-10-07,0.6100127,216715.506849,44984157.19104538
2015-10-08,0.6234833,310876.144108,45977519.79859987
2015-10-09,0.65076876,379233.12204,47989631.2526218
2015-10-10,0.62979494,145554.93808,46490996.55001768
2015-10-11,0.63704398,87074.799618,47026115.24213034
2015-10-12,0.62878728,108895.529216,46416611.84230387
2015-10-13,0.60262727,297117.0771,44485499.29942276
2015-10-14,0.51768944,944847.804713,38272635.02078042
2015-10-15,0.561499,376563.071509,41527413.54435173
2015-10-16,0.53314802,247071.247235,39443831.31743269
2015-10-17,0.54902831,317377.761779,40632190.61699083
2015-10-18,0.51844455,133661.670452,38382124.41691709
2015-10-19,0.4870673,240250.376568,36070935.31062339
2015-10-20,0.4329786,352361.061864,32076052.63190566
2015-10-21,0.43976897,599041.013152,32590298.00833391
2015-10-22,0.56546151,979304.072423,41918540.78268511
2015-10-23,0.54073777,866798.488854,40100107.0136459
2015-10-24,0.56857377,259157.662411,42179070.75754259
2015-10-25,0.63193881,476617.738601,46895926.25706036
2015-10-26,0.74395791,1174026.819064,55226993.78944921
2015-10-27,0.85445525,1887568.905929,63451496.57423601
2015-10-28,1.01040972,2447633.797628,75057962.81264551
2015-10-29,1.16374864,2236842.210445,86478981.5524642
2015-10-30,1.04184905,2384549.99812,77447839.42741764
2015-10-31,0.90709163,652271.587322,67453442.47710526
2015-11-01,1.05854194,603996.19903,78742733.24541084
2015-11-02,0.95504586,970665.678306,71066352.05814125
2015-11-03,1.0023448,1878273.010921,74613449.56251672
2015-11-04,0.90180866,3218064.880848,67152505.55125615
2015-11-05,0.90660114,1202885.380046,67532501.09696001
2015-11-06,0.9094422,913629.169686,67767390.10082617
2015-11-07,0.92248209,904631.869963,68761146.27837914
2015-11-08,1.03049951,1040086.754503,76839299.32470989
2015-11-09,0.99580298,1972521.387403,74277547.07634276
2015-11-10,0.93483422,865031.54124,69753492.14382021
2015-11-11,0.78876118,1243322.752719,58873875.70678452
2015-11-12,0.90074207,826829.668921,67254888.20415637
2015-11-13,0.90408156,545086.265889,67527257.40972713
2015-11-14,0.88422891,361586.11601,66066714.4889687
2015-11-15,0.91082555,432023.407832,68078325.7946219
2015-11-16,0.93384078,616346.929852,69812830.40735959
2015-11-17,0.99527336,1128249.544513,74440734.3005621
2015-11-18,0.99442858,687203.333102,74402718.74542972
2015-11-19,0.95147129,434385.48151,71212297.76056388
2015-11-20,0.92680312,606560.338362,69388368.57982641
2015-11-21,0.97357243,454926.919003,72914368.80252853
2015-11-22,0.96473853,371962.883334,72276339.25126061
2015-11-23,0.94522034,437126.394268,70839197.81949022
2015-11-24,0.89936114,354914.086212,67424299.39769948
2015-11-25,0.86770709,708867.177679,65072847.33270621
2015-11-26,0.89487477,959696.471944,67132055.60740013
2015-11-27,0.8707128,398595.499644,65341845.39288887
2015-11-28,0.91739878,465064.938689,68868768.28657502
2015-11-29,0.87174495,436939.130208,65463342.96555324
2015-11-30,0.87360093,775372.540575,65624853.97047546
2015-12-01,0.875004,643109.857922,65752486.02943543
2015-12-02,0.82273378,494205.892848,61844779.03171155
2015-12-03,0.82476519,541681.136868,62018808.08501764
2015-12-04,0.83879095,241947.494443,63094325.07829986
2015-12-05,0.86458373,226084.410715,65056337.64166404
2015-12-06,0.83499249,429681.289475,62850264.41510667
2015-12-07,0.80075028,494657.61803,60292476.61320164
2015-12-08,0.81885271,435966.808848,61675859.11031403
2015-12-09,0.79182935,627128.926049,59661067.18085799
2015-12-10,0.84744224,374543.005867,63872552.27588074
2015-12-11,0.91673894,765839.873811,69119370.62718369
2015-12-12,0.97125831,1385279.043732,73250296.07272834
2015-12-13,0.95830317,279257.61044,72302484.28350292
2015-12-14,0.99548983,562723.386015,75133022.39506158
2015-12-15,1.0170637,573171.620486,76787012.60189861
2015-12-16,0.98891244,207316.98728,74686005.22814946
2015-12-17,0.94022833,641112.350514,71033582.40629953
2015-12-18,0.92117178,297866.397128,69616990.9878865
2015-12-19,0.90963292,333313.423833,68767429.85047308
2015-12-20,0.90323164,467489.593326,68305705.24538197
2015-12-21,0.89680629,543846.397806,67842615.39188164
2015-12-22,0.87895931,468144.560434,66514758.19337365
2015-12-23,0.86756546,333657.860305,65674405.65404613
2015-12-24,0.86136302,353090.340359,65226512.00327969
2015-12-25,0.87071834,169208.76049,65957619.83793369
2015-12-26,0.85301786,424123.096705,64637552.40046091
2015-12-27,0.85888709,208247.218659,65104495.77797423
2015-12-28,0.84216961,228592.587595,63858382.55360898
2015-12-29,0.86948781,211396.567508,65951485.1558242
2015-12-30,0.9003543,584414.470568,68315404.54669571
2015-12-31,0.93653997,668846.070448,71083912.69961053
2016-01-01,0.94631334,202032.133369,71849843.66511223
2016-01-02,0.93812616,252880.235317,71252107.9687766
2016-01-03,0.97219698,402755.908408,73864483.22222728
2016-01-04,0.95929784,341506.821368,72909192.00505088
2016-01-05,0.95310224,217443.238098,72462361.87937805
2016-01-06,0.96843401,328507.152382,73650960.93328463
2016-01-07,0.95897678,642269.517649,72931723.30621576
2016-01-08,0.99557478,554403.401824,75767382.4398899
2016-01-09,1.02478097,254045.629113,78016544.33428131
2016-01-10,1.01996586,404315.934962,77676004.65241879
2016-01-11,1.06872662,1025253.038345,81416101.6377075
2016-01-12,1.1673629,2962550.39459,88958959.89936547
2016-01-13,1.12958835,1003321.360458,86108971.48293594
2016-01-14,1.15737755,731050.848377,88257219.96322113
2016-01-15,1.21073546,4049516.212452,92329493.82516772
2016-01-16,1.2156913,2377737.142566,92765190.35300171
2016-01-17,1.32185571,1176009.006685,100866229.13386132
2016-01-18,1.39830113,4073710.120278,106770204.99600992
2016-01-19,1.37699002,1684557.291408,105177492.60810892
2016-01-20,1.5654119,2899771.051019,119608403.90910526
