date,price,vol_spot_24h,market_cap
2025-02-26,6.733e-05,10507975.463099,368881310.0956192
2025-02-25,6.776e-05,18907994.189946,371215241.6571272
2025-02-24,6.528e-05,12005760.452298,357757528.97983354
2025-02-23,7.23e-05,5450042.759718,396224419.3057416
2025-02-22,7.423e-05,6126094.345914,406957875.9985221
2025-02-21,7.289e-05,11731144.83443,399851263.3459368
2025-02-20,7.581e-05,7900578.425859,416003603.2398108
2025-02-19,7.511e-05,9565447.464501,412168525.0345035
2025-02-18,7.246e-05,10155267.745615,397671998.5299954
2025-02-17,7.687e-05,11458959.070391,421935657.56756896
2025-02-16,7.657e-05,8685270.924201,420312813.5781095
2025-02-15,7.913e-05,12881873.445317,434426891.73979294
2025-02-14,7.959e-05,12498289.99375,436996576.22132427
2025-02-13,7.782e-05,15697441.963041,427283959.6400856
2025-02-12,8.191e-05,38883976.543638,449787254.02622944
2025-02-11,7.514e-05,17416259.819853,412747238.18332297
2025-02-10,7.333e-05,23829518.787393,402889378.3252676
2025-02-09,6.898e-05,15287366.620922,379004889.1024355
2025-02-08,6.867e-05,12530286.128035,377363308.59068274
2025-02-07,6.437e-05,11346662.24545,353710694.9637961
2025-02-06,6.219e-05,18407869.753392,341719608.32109326
2025-02-05,6.512e-05,30999118.3238,357804321.66188514
2025-02-04,6.399e-05,20997257.192034,351632069.57193416
2025-02-03,6.7e-05,61786184.152304,368244419.05340445
2025-02-02,6.389e-05,27837735.758096,351468157.7361128
2025-02-01,7.181e-05,16415907.403781,395122612.232857
2025-01-31,7.817e-05,12539674.102703,430244160.63291246
2025-01-30,7.783e-05,9349547.455557,428332392.21989685
2025-01-29,7.521e-05,12110253.966934,413975331.99902177
2025-01-28,7.242e-05,13097750.986562,398554914.5627855
2025-01-27,7.746e-05,27204872.90864,426328365.59174776
2025-01-26,7.874e-05,8656283.792604,433403897.4382281
2025-01-25,8.17e-05,11514184.50035,449660050.50867647
2025-01-24,8.06e-05,12559990.659036,443620916.7786072
2025-01-23,8.301e-05,22611731.963666,456761459.31124055
2025-01-22,8.225e-05,24638935.200234,452824783.305076
2025-01-21,8.862e-05,18200278.683008,487982845.8267965
2025-01-20,8.665e-05,37750622.27321,477137626.3866012
2025-01-19,8.462e-05,41486220.550112,465958160.913602
2025-01-18,9.718e-05,20245014.98247,535199702.07290936
2025-01-17,0.0001073,19866991.731243,590895292.0271232
2025-01-16,0.00010291,17387904.370741,566591605.996752
2025-01-15,0.0001057,26095273.35458,581772810.7692013
2025-01-14,0.00010281,10410328.901137,565969887.6999604
2025-01-13,9.988e-05,22006223.45092,549806544.7314813
2025-01-12,0.0001009,8759514.067121,555526423.210595
2025-01-11,0.00010301,8747244.647938,567073718.4737319
2025-01-10,0.00010413,11880889.438234,573219420.2666883
2025-01-09,0.00010134,15393034.625253,557984834.1013503
2025-01-08,0.00010489,23935176.145987,577386629.2060175
2025-01-07,0.00010804,25767440.614389,594766521.8284359
2025-01-06,0.00012007,23911957.601212,661021680.9637451
2025-01-05,0.00012146,47370728.8316,668613338.3225157
2025-01-04,0.00011839,15264956.024692,651839828.2889372
2025-01-03,0.00011862,19801764.719727,653132467.038448
2025-01-02,0.00011419,15471909.537705,628871714.0697253
2025-01-01,0.00011189,17099039.561132,616175311.3408903
2024-12-31,0.00010775,15534019.387228,593809068.5969055
