Date,Price,Sentiment,Sentiment_Score,Action,Cash,Holdings,Short_Holdings,Portfolio_Value,Crypto_Return,Portfolio_Return
2024-05-01,58307.05498655,Negative,-433.0,Sell Short,20000.0,0.0,0.17150583239552664,20000.0,-3.9581720455053766,100.0
2024-05-02,59135.27036169,Positive,323.0,Close Short,19857.95623268384,0.0,0.0,19857.95623268384,-2.593957739246689,98.57956232683838
2024-05-03,62904.83292433,Positive,27.0,Buy Long,0.0,0.3156825208735795,0.0,19857.95623268384,3.615165310927727,98.57956232683838
2024-05-04,63877.65771523,Positive,178.0,Hold,0.0,0.3156825208735795,0.0,20165.060015043462,5.217576395127354,101.65060015043461
2024-05-05,64006.30460799,Positive,1845.0,Hold,0.0,0.3156825208735795,0.0,20205.671590452494,5.429480130347497,102.05671590452494
2024-05-06,63191.95954505,Positive,40.0,Hold,0.0,0.3156825208735795,0.0,19948.59708812264,4.088112632906283,99.48597088122638
2024-05-07,62440.20988,Positive,10.0,Hold,0.0,0.3156825208735795,0.0,19711.282858793787,2.849850607629319,97.11282858793787
2024-05-08,61134.82693444,Positive,31.0,Hold,0.0,0.3156825208735795,0.0,19299.19627983403,0.6996585888225909,92.99196279834028
2024-05-09,63047.05964273,Positive,2249.0,Hold,0.0,0.3156825208735795,0.0,19902.854721683925,3.8494373732408644,99.02854721683924
2024-05-10,60897.55192455,Positive,506.0,Hold,0.0,0.3156825208735795,0.0,19224.292706571647,0.3088255123961951,92.24292706571646
2024-05-11,60836.67000892,Positive,2.0,Hold,0.0,0.3156825208735795,0.0,19205.073349969956,0.20854244257170365,92.05073349969956
2024-05-12,61467.92941955,Neutral,0.0,Hold,0.0,0.3156825208735795,0.0,19404.350912042803,1.248336130048577,94.04350912042803
2024-05-13,62889.42101882,Positive,248.0,Hold,0.0,0.3156825208735795,0.0,19853.090963500974,3.589779230670647,98.53090963500973
2024-05-14,61566.43876712,Positive,155.0,Hold,0.0,0.3156825208735795,0.0,19435.448591213313,1.410598103550932,94.35448591213313
2024-05-15,66304.44488331,Positive,40.0,Hold,0.0,0.3156825208735795,0.0,20931.154305886612,9.21491558045714,109.31154305886612
2024-05-16,65233.06656096,Negative,-406.0,Sell Long,20592.938896277854,0.0,0.0,20592.938896277854,7.450169744244861,105.92938896277855
2024-05-17,67044.17013745,Negative,-487.0,Sell Short,41185.87779255571,0.0,0.30715480337901757,41185.87779255571,10.433371316355586,311.8587779255571
2024-05-18,66984.70484648,Positive,193.0,Close Short,41204.14284231147,0.0,0.0,41204.14284231147,10.335421672938997,312.04142842311467
2024-05-19,66298.04001871,Neutral,0.0,Hold,41204.14284231147,0.0,0.0,41204.14284231147,9.204365658082788,312.04142842311467
2024-05-20,71379.29118518,Positive,26.0,Buy Long,0.0,0.5772562623999047,0.0,41204.14284231147,17.574067239413885,312.04142842311467
2024-05-21,70158.32147019,Positive,3.0,Hold,0.0,0.5772562623999047,0.0,40499.33042813287,15.56291844563982,304.9933042813287
2024-05-22,69142.67717369,Positive,750.0,Hold,0.0,0.5772562623999047,0.0,39913.04339760749,13.889976212321434,299.1304339760749
2024-05-23,67939.33225473,Positive,6.0,Hold,0.0,0.5772562623999047,0.0,39218.40500731073,11.907858513128252,292.1840500731073
2024-05-24,68577.64433366,Positive,2.0,Hold,0.0,0.5772562623999047,0.0,39586.87465223858,12.95926916797975,295.8687465223858
2024-05-25,69269.43113622,Negative,-1.0,Sell Long,39986.21291626194,0.0,0.0,39986.21291626194,14.09876196328527,299.8621291626194
2024-05-26,68524.59025268,Neutral,0.0,Hold,39986.21291626194,0.0,0.0,39986.21291626194,12.871879898894898,299.8621291626194
2024-05-27,69365.10098777,Positive,1.0,Buy Long,0.0,0.5764600980442895,0.0,39986.21291626194,14.256346794573988,299.8621291626194
2024-05-28,68360.67189601,Positive,578.0,Hold,0.0,0.5764600980442895,0.0,39407.19962354743,12.601877947784246,294.07199623547433
2024-05-29,67550.88110842,Positive,336.0,Hold,0.0,0.5764600980442895,0.0,38940.38754673794,11.268012131395581,289.4038754673794
2024-05-30,68373.08954426,Negative,-210.0,Sell Long,39414.35790227511,0.0,0.0,39414.35790227511,12.622331967235262,294.14357902275106
2024-05-31,67494.14634896,Neutral,0.0,Hold,39414.35790227511,0.0,0.0,39414.35790227511,11.174560146754034,294.14357902275106
2024-06-01,67699.70921974,Positive,726.0,Buy Long,0.0,0.5821939024042749,0.0,39414.35790227511,11.513157832297225,294.14357902275106
2024-06-02,67753.89194861,Positive,115.0,Hold,0.0,0.5821939024042749,0.0,39445.90275663884,11.602406180124738,294.4590275663884
2024-06-03,68799.14059215,Negative,-173.0,Sell Long,40054.440143404165,0.0,0.0,40054.440143404165,13.324111905370057,300.5444014340417
2024-06-04,70551.1509187,Positive,16.0,Buy Long,0.0,0.5677361690323254,0.0,40054.440143404165,16.209976650139428,300.5444014340417
2024-06-05,71077.38404415,Positive,8.0,Hold,0.0,0.5677361690323254,0.0,40353.20172206505,17.076773838062632,303.5320172206505
2024-06-06,70763.78449397,Negative,-77.0,Sell Long,40175.159914835596,0.0,0.0,40175.159914835596,16.56022101178899,301.751599148356
2024-06-07,69366.20544331,Positive,4.0,Buy Long,0.0,0.5791748252348763,0.0,40175.159914835596,14.258166024322094,301.751599148356
