date,price,sentiment,sentiment_score
2024-04-30,60710.06375907,Negative,-433.0
2024-05-01,58307.05498655,Positive,323.0
2024-05-02,59135.27036169,Positive,27.0
2024-05-03,62904.83292433,Positive,178.0
2024-05-04,63877.65771523,Positive,1845.0
2024-05-05,64006.30460799,Positive,40.0
2024-05-06,63191.95954505,Positive,10.0
2024-05-07,62440.20988,Positive,31.0
2024-05-08,61134.82693444,Positive,2249.0
2024-05-09,63047.05964273,Positive,506.0
2024-05-10,60897.55192455,Positive,2.0
2024-05-11,60836.67000892,Neutral,0.0
2024-05-12,61467.92941955,Positive,248.0
2024-05-13,62889.42101882,Positive,155.0
2024-05-14,61566.43876712,Positive,40.0
2024-05-15,66304.44488331,Negative,-406.0
2024-05-16,65233.06656096,Negative,-487.0
2024-05-17,67044.17013745,Positive,193.0
2024-05-18,66984.70484648,Neutral,0.0
2024-05-19,66298.04001871,Positive,26.0
2024-05-20,71379.29118518,Positive,3.0
2024-05-21,70158.32147019,Positive,750.0
2024-05-22,69142.67717369,Positive,6.0
2024-05-23,67939.33225473,Positive,2.0
2024-05-24,68577.64433366,Negative,-1.0
2024-05-25,69269.43113622,Neutral,0.0
2024-05-26,68524.59025268,Positive,1.0
2024-05-27,69365.10098777,Positive,578.0
2024-05-28,68360.67189601,Positive,336.0
2024-05-29,67550.88110842,Negative,-210.0
2024-05-30,68373.08954426,Neutral,0.0
2024-05-31,67494.14634896,Positive,726.0
2024-06-01,67699.70921974,Positive,115.0
2024-06-02,67753.89194861,Negative,-173.0
2024-06-03,68799.14059215,Positive,16.0
2024-06-04,70551.1509187,Positive,8.0
2024-06-05,71077.38404415,Negative,-77.0
2024-06-06,70763.78449397,Positive,4.0
2024-06-07,69366.20544331,Negative,-1.0
2024-06-08,69336.67531563,Positive,6.0
2024-06-09,69635.86846124,Positive,1.0
2024-06-10,69464.19919817,Positive,114.0
2024-06-11,67344.60745403,Positive,25.0
2024-06-12,68226.57691698,Positive,41.0
2024-06-13,66751.39854364,Negative,-9.0
2024-06-14,66058.40586295,Positive,1.0
2024-06-15,66225.57582335,Neutral,0.0
2024-06-16,66632.78666799,Positive,1.0
2024-06-17,66492.25506339,Neutral,0.0
2024-06-18,65106.53780204,Neutral,0.0
2024-06-19,64962.04178659,Positive,13.0
2024-06-20,64865.9452675,Negative,-27.0
2024-06-21,64068.56121559,Positive,4.0
2024-06-22,64221.86118929,Positive,2.0
2024-06-23,63270.14340557,Positive,368.0
2024-06-24,60325.6100489,Negative,-77.0
2024-06-25,61771.47689359,Positive,13.0
2024-06-26,60788.66076039,Positive,1695.0
2024-06-27,61590.33936327,Negative,-4.0
2024-06-28,60324.95773564,Positive,16.0
2024-06-29,60863.75719769,Positive,1.0
2024-06-30,62723.74563295,Positive,1.0
2024-07-01,62860.2776865,Neutral,0.0
2024-07-02,62015.89414981,Neutral,0.0
2024-07-03,60192.68075594,Negative,-72.0
2024-07-04,57101.68300361,Positive,282.0
2024-07-05,56716.17969868,Positive,490.0
2024-07-06,58211.70684888,Positive,151.0
2024-07-07,56017.82113735,Positive,23.0
2024-07-08,56656.48689152,Positive,124.0
2024-07-09,58010.22333474,Positive,268.0
2024-07-10,57792.44598379,Positive,6.0
2024-07-11,57349.5181351,Negative,-70.0
2024-07-12,57940.43489239,Positive,48.0
2024-07-13,59258.14435888,Positive,213.0
2024-07-14,60905.74825816,Negative,-1.0
2024-07-15,64804.1331049,Positive,200.0
2024-07-16,65150.33207396,Negative,-16.0
2024-07-17,64114.97788455,Negative,-34.0
2024-07-18,63983.86770417,Positive,137.0
2024-07-19,66744.45330223,Positive,90.0
2024-07-20,67163.2874132,Positive,282.0
2024-07-21,68085.80842715,Positive,175.0
2024-07-22,67579.53056733,Positive,131.0
2024-07-23,65919.63232649,Positive,2.0
2024-07-24,65408.61354468,Negative,-111.0
2024-07-25,65779.28975493,Positive,4.0
2024-07-26,67919.78665783,Negative,-722.0
2024-07-27,67951.05781723,Positive,225.0
2024-07-28,68254.17311899,Positive,29.0
2024-07-29,66852.07883191,Positive,221.0
2024-07-30,66174.59591259,Positive,51.0
2024-07-31,64671.5135246,Negative,-64.0
2024-08-01,65189.48817341,Positive,269.0
2024-08-02,61484.96109131,Positive,54.0
2024-08-03,60745.27777853,Negative,-2.0
2024-08-04,58147.32858138,Neutral,0.0
2024-08-05,54077.63736263,Negative,-107.0
2024-08-06,55998.50801516,Neutral,0.0
2024-08-07,55020.49812263,Neutral,0.0
2024-08-08,61823.55740612,Neutral,0.0
2024-08-09,60931.33675971,Positive,1133.0
