Date,Price,Volume,Market_cap
2025-02-26 00:00:00 UTC+0,0.00006733,10507975.463099,368881310.09561920
2025-02-25 00:00:00 UTC+0,0.00006776,18907994.189946,371215241.65712714
2025-02-24 00:00:00 UTC+0,0.00006528,12005760.452298,357757528.97983354
2025-02-23 00:00:00 UTC+0,0.00007230,5450042.759718,396224419.30574150
2025-02-22 00:00:00 UTC+0,0.00007423,6126094.345914,406957875.99852204
2025-02-21 00:00:00 UTC+0,0.00007289,11731144.834430,399851263.34593683
2025-02-20 00:00:00 UTC+0,0.00007581,7900578.425859,416003603.23981080
2025-02-19 00:00:00 UTC+0,0.00007511,9565447.464501,412168525.03450350
2025-02-18 00:00:00 UTC+0,0.00007246,10155267.745615,397671998.52999540
2025-02-17 00:00:00 UTC+0,0.00007687,11458959.070391,421935657.56756900
2025-02-16 00:00:00 UTC+0,0.00007657,8685270.924201,420312813.57810950
2025-02-15 00:00:00 UTC+0,0.00007913,12881873.445317,434426891.73979300
2025-02-14 00:00:00 UTC+0,0.00007959,12498289.993750,436996576.22132427
2025-02-13 00:00:00 UTC+0,0.00007782,15697441.963041,427283959.64008560
2025-02-12 00:00:00 UTC+0,0.00008191,38883976.543638,449787254.02622944
2025-02-11 00:00:00 UTC+0,0.00007514,17416259.819853,412747238.18332297
2025-02-10 00:00:00 UTC+0,0.00007333,23829518.787393,402889378.32526755
2025-02-09 00:00:00 UTC+0,0.00006898,15287366.620922,379004889.10243550
2025-02-08 00:00:00 UTC+0,0.00006867,12530286.128035,377363308.59068274
2025-02-07 00:00:00 UTC+0,0.00006437,11346662.245450,353710694.96379610
2025-02-06 00:00:00 UTC+0,0.00006219,18407869.753392,341719608.32109326
2025-02-05 00:00:00 UTC+0,0.00006512,30999118.323800,357804321.66188514
2025-02-04 00:00:00 UTC+0,0.00006399,20997257.192034,351632069.57193416
2025-02-03 00:00:00 UTC+0,0.00006700,61786184.152304,368244419.05340445
2025-02-02 00:00:00 UTC+0,0.00006389,27837735.758096,351468157.73611280
2025-02-01 00:00:00 UTC+0,0.00007181,16415907.403781,395122612.23285700
2025-01-31 00:00:00 UTC+0,0.00007817,12539674.102703,430244160.63291246
2025-01-30 00:00:00 UTC+0,0.00007783,9349547.455557,428332392.21989685
2025-01-29 00:00:00 UTC+0,0.00007521,12110253.966934,413975331.99902177
2025-01-28 00:00:00 UTC+0,0.00007242,13097750.986562,398554914.56278545
2025-01-27 00:00:00 UTC+0,0.00007746,27204872.908640,426328365.59174776
2025-01-26 00:00:00 UTC+0,0.00007874,8656283.792604,433403897.43822810
2025-01-25 00:00:00 UTC+0,0.00008170,11514184.500350,449660050.50867650
2025-01-24 00:00:00 UTC+0,0.00008060,12559990.659036,443620916.77860720
2025-01-23 00:00:00 UTC+0,0.00008301,22611731.963666,456761459.31124055
2025-01-22 00:00:00 UTC+0,0.00008225,24638935.200234,452824783.30507600
2025-01-21 00:00:00 UTC+0,0.00008862,18200278.683008,487982845.82679650
2025-01-20 00:00:00 UTC+0,0.00008665,37750622.273210,477137626.38660120
2025-01-19 00:00:00 UTC+0,0.00008462,41486220.550112,465958160.91360200
2025-01-18 00:00:00 UTC+0,0.00009718,20245014.982470,535199702.07290936
2025-01-17 00:00:00 UTC+0,0.00010730,19866991.731243,590895292.02712320
2025-01-16 00:00:00 UTC+0,0.00010291,17387904.370741,566591605.99675210
2025-01-15 00:00:00 UTC+0,0.00010570,26095273.354580,581772810.76920130
2025-01-14 00:00:00 UTC+0,0.00010281,10410328.901137,565969887.69996040
2025-01-13 00:00:00 UTC+0,0.00009988,22006223.450920,549806544.73148130
2025-01-12 00:00:00 UTC+0,0.00010090,8759514.067121,555526423.21059500
2025-01-11 00:00:00 UTC+0,0.00010301,8747244.647938,567073718.47373190
2025-01-10 00:00:00 UTC+0,0.00010413,11880889.438234,573219420.26668830
2025-01-09 00:00:00 UTC+0,0.00010134,15393034.625253,557984834.10135030
2025-01-08 00:00:00 UTC+0,0.00010489,23935176.145987,577386629.20601740
2025-01-07 00:00:00 UTC+0,0.00010804,25767440.614389,594766521.82843580
2025-01-06 00:00:00 UTC+0,0.00012007,23911957.601212,661021680.96374510
2025-01-05 00:00:00 UTC+0,0.00012146,47370728.831600,668613338.32251570
2025-01-04 00:00:00 UTC+0,0.00011839,15264956.024692,651839828.28893720
2025-01-03 00:00:00 UTC+0,0.00011862,19801764.719727,653132467.03844790
2025-01-02 00:00:00 UTC+0,0.00011419,15471909.537705,628871714.06972530
2025-01-01 00:00:00 UTC+0,0.00011189,17099039.561132,616175311.34089020
2024-12-31 00:00:00 UTC+0,0.00010775,15534019.387228,593809068.59690540
2024-12-30 00:00:00 UTC+0,0.00010862,17106276.905954,598441478.10852590
2024-12-29 00:00:00 UTC+0,0.00011043,14905794.864281,608426402.35204320
2024-12-28 00:00:00 UTC+0,0.00011493,15052176.319023,633303055.43467800
2024-12-27 00:00:00 UTC+0,0.00011349,34241936.464385,625342944.80875930
2024-12-26 00:00:00 UTC+0,0.00010995,18731241.996065,605821834.04236760
2024-12-25 00:00:00 UTC+0,0.00011650,20373524.279752,641962786.80692160
2024-12-24 00:00:00 UTC+0,0.00012041,27218262.237125,663462682.21271810
2024-12-23 00:00:00 UTC+0,0.00011721,37521717.391140,645891523.42268060
2024-12-22 00:00:00 UTC+0,0.00010837,18665208.161047,597386491.60668370
2024-12-21 00:00:00 UTC+0,0.00010805,33815184.354539,595670298.78589700
2024-12-20 00:00:00 UTC+0,0.00010976,56051060.020543,605166419.82486980
2024-12-19 00:00:00 UTC+0,0.00010381,44738982.770741,572402376.14830520
2024-12-18 00:00:00 UTC+0,0.00011394,35969095.821448,628258438.39030490
2024-12-17 00:00:00 UTC+0,0.00012497,30661134.484845,689058107.52111050
2024-12-16 00:00:00 UTC+0,0.00013081,26895117.922522,721288752.74333070
2024-12-15 00:00:00 UTC+0,0.00013384,38836158.920043,737891106.36533950
